path,kit,tris_unique,tris_instanced,meshes,materials,textured_materials,normal_mapped,vertex_colour,skinned,animations,bytes,error
game/land04/assets/blue-bracts-dry.glb,land04,4488,4488,1,1,0,0,True,False,0,168224,
game/land04/assets/blue-lamination.glb,land04,552,552,1,1,0,0,True,False,0,21304,
game/land04/assets/blue-sheaths.glb,land04,5984,5984,1,1,0,0,True,False,0,223832,
game/land04/assets/green-root-fan.glb,land04,9342,9342,1,1,0,0,True,False,0,364720,
game/land04/assets/green-steppe-colony.glb,land04,12110,12110,1,1,0,0,True,False,0,474624,
game/land04/assets/white-brace.glb,land04,9643,9643,1,1,0,0,True,False,0,374840,
game/rf06b/assets/fern-bower.glb,rf06b,2232,2232,1,1,0,0,True,False,0,96316,
game/rf06b/assets/root-weave.glb,rf06b,1120,1120,1,1,0,0,True,False,0,45028,
game/rf06b/assets/rush-fan.glb,rf06b,2550,2550,1,1,0,0,True,False,0,100732,
game/rf06b/assets/sedge-crescent.glb,rf06b,2304,2304,1,1,0,0,True,False,0,103888,
game/rf06b/assets/sedge-spread.glb,rf06b,2304,2304,1,1,0,0,True,False,0,103884,
game/c5/assets/copper_vein-u2-cold-lod0.gltf,c5,5976,5976,1,2,0,0,True,False,0,2360,
game/c5/assets/copper_vein-u2-cracked-lod0.gltf,c5,5976,5976,1,2,0,0,True,False,0,2364,
game/c5/assets/copper_vein-u4-cold-lod0.gltf,c5,5975,5975,1,2,0,0,True,False,0,2364,
game/c5/assets/copper_vein-u4-cracked-lod0.gltf,c5,5974,5974,1,2,0,0,True,False,0,2370,
game/c5/assets/copper_vein-u6-cold-lod0.gltf,c5,5974,5974,1,2,0,0,True,False,0,2361,
game/c5/assets/copper_vein-u6-cracked-lod0.gltf,c5,5974,5974,1,2,0,0,True,False,0,2366,
game/c5/assets/copper_vein-u8-cold-lod0.gltf,c5,5974,5974,1,2,0,0,True,False,0,2354,
game/c5/assets/copper_vein-u8-cracked-lod0.gltf,c5,5974,5974,1,2,0,0,True,False,0,2359,
game/c5/assets/ember_iron_vein-u2-cold-lod0.gltf,c5,5974,5974,1,2,0,0,True,False,0,2376,
game/c5/assets/ember_iron_vein-u2-cracked-lod0.gltf,c5,5974,5974,1,2,0,0,True,False,0,2382,
game/c5/assets/ember_iron_vein-u4-cold-lod0.gltf,c5,5974,5974,1,2,0,0,True,False,0,2377,
game/c5/assets/ember_iron_vein-u4-cracked-lod0.gltf,c5,5974,5974,1,2,0,0,True,False,0,2383,
game/c5/assets/ember_iron_vein-u6-cold-lod0.gltf,c5,5974,5974,1,2,0,0,True,False,0,2367,
game/c5/assets/ember_iron_vein-u6-cracked-lod0.gltf,c5,5974,5974,1,2,0,0,True,False,0,2373,
game/c5/assets/iron_vein-u2-cold-lod0.gltf,c5,5976,5976,1,2,0,0,True,False,0,2352,
game/c5/assets/iron_vein-u4-cold-lod0.gltf,c5,5976,5976,1,2,0,0,True,False,0,2362,
game/c5/assets/iron_vein-u6-cold-lod0.gltf,c5,5975,5975,1,2,0,0,True,False,0,2353,
game/c5/assets/iron_vein-u8-cold-lod0.gltf,c5,5974,5974,1,2,0,0,True,False,0,2347,
game/c5/assets/silver_vein-u2-cold-lod0.gltf,c5,5974,5974,1,2,0,0,True,False,0,2356,
game/c5/assets/silver_vein-u2-cracked-lod0.gltf,c5,5974,5974,1,2,0,0,True,False,0,2361,
game/c5/assets/silver_vein-u4-cold-lod0.gltf,c5,5974,5974,1,2,0,0,True,False,0,2358,
game/c5/assets/silver_vein-u4-cracked-lod0.gltf,c5,5974,5974,1,2,0,0,True,False,0,2366,
game/c5/assets/silver_vein-u6-cold-lod0.gltf,c5,5974,5974,1,2,0,0,True,False,0,2355,
game/c5/assets/silver_vein-u6-cracked-lod0.gltf,c5,5974,5974,1,2,0,0,True,False,0,2358,
game/c5/assets/tin_vein-u2-cold-lod0.gltf,c5,5976,5976,1,2,0,0,True,False,0,2349,
game/c5/assets/tin_vein-u2-cracked-lod0.gltf,c5,5976,5976,1,2,0,0,True,False,0,2355,
game/c5/assets/tin_vein-u4-cold-lod0.gltf,c5,5975,5975,1,2,0,0,True,False,0,2346,
game/c5/assets/tin_vein-u4-cracked-lod0.gltf,c5,5975,5975,1,2,0,0,True,False,0,2352,
game/c5/assets/tin_vein-u6-cold-lod0.gltf,c5,5974,5974,1,2,0,0,True,False,0,2339,
game/c5/assets/tin_vein-u6-cracked-lod0.gltf,c5,5974,5974,1,2,0,0,True,False,0,2343,
game/r1/assets/broadleaf-a-lod1.glb,r1,98032,98032,3,3,1,0,True,False,0,14528468,
game/r1/assets/broadleaf-a-lod2.glb,r1,65232,65232,3,3,1,0,True,False,0,11689072,
game/r1/assets/broadleaf-stump.glb,r1,25229,25229,1,2,2,0,False,False,0,4810480,
game/r1/assets/pine-a-lod1.glb,r1,130597,130597,3,3,1,0,True,False,0,17716452,
game/r1/assets/pine-a-lod2.glb,r1,69637,69637,3,3,1,0,True,False,0,12812184,
game/r1/assets/pine-stump.glb,r1,73276,73276,1,2,2,0,False,False,0,5675632,
game/b3/assets/boulder-full-lod0.glb,b3,11980,11980,1,2,2,0,False,False,0,4014544,
game/b3/assets/boulder-remnant-lod0.glb,b3,2745,2745,1,2,2,0,False,False,0,3455992,
game/b3/assets/boulder-worked-lod0.glb,b3,7422,7422,1,2,2,0,False,False,0,3737880,
game/b3/assets/stone-seam-lod0.glb,b3,9046,9046,2,2,2,0,False,False,0,3824032,
game/c3/assets/corkbark-12-lod0.gltf,c3,54919,54919,3,3,3,0,False,False,0,4821,
game/c3/assets/corkbark-18-lod0.gltf,c3,74007,74007,4,3,3,0,False,False,0,5669,
game/c3/assets/corkbark-6-lod0.gltf,c3,35831,35831,2,3,3,0,False,False,0,3970,
game/c3/assets/resinheart-altered-lod0.gltf,c3,219474,219474,3,3,1,0,True,False,0,4842,
game/c3/assets/resinheart-lod0.gltf,c3,219474,219474,3,3,1,0,True,False,0,4610,
game/c3/assets/resinheart-stump.gltf,c3,8904,8904,1,1,1,0,False,False,0,1728,
game/assets/authored/beam.glb,assets,44,44,1,1,1,0,False,False,0,50808,
game/assets/authored/broadleaf_tree.glb,assets,10264,10264,1,1,0,0,True,False,0,1013736,
game/assets/authored/broadleaf_tree_far.glb,assets,1436,1436,1,1,0,0,True,False,0,162144,
game/assets/authored/campfire.glb,assets,1028,1028,1,3,2,0,False,False,0,133192,
game/assets/authored/cataclysm_augmentation_inlay.glb,assets,1564,1564,1,2,2,0,True,False,0,159888,
